Time (Z),Diff_Min,MWS_Wind_Dir,CYYR_Wind_Dir,MWS_Wind_Spd,CYYR_Wind_Spd,MWS_Wind_Gust,CYYR_Wind_Gust,MWS_Vis,CYYR_Vis,MWS_Wx,CYYR_Wx,MWS_Temp,CYYR_Temp,MWS_Dew,CYYR_Dew,MWS_QNH,CYYR_QNH
17. 12:15Z,15,210,200,3,5,4.0,,6SM,15SM,///046 -60.4006°;02/17/2026 1215Z,CYYR -SHSN OVC043,M5,M06,M8,M06,A3008,A3012
17. 12:55Z,5,230,210,2,4,3.0,,6SM,15SM,///036 -60.4006°;02/17/2026 1255Z,CYYR -SHSN BKN045,M4,M04,M8,M06,A3007,A3012
17. 13:15Z,15,200,210,2,4,,,6SM,15SM,///036 ///042 -60.4006°;02/17/2026 1315Z,CYYR -SHSN BKN045,M4,M04,M8,M06,A3007,A3012
17. 13:55Z,5,240,220,4,4,7.0,,6SM,15SM,///042 -60.4006°;02/17/2026 1355Z,CYYR -SHSN BKN044,M3,M02,M8,M06,A3007,A3012
17. 14:15Z,15,210,220,3,4,,,6SM,15SM,///037 ///038 ///041 ///043 -60.4006°;02/17/2026 1415Z,CYYR -SHSN BKN044,M2,M02,M8,M06,A3007,A3012
17. 14:55Z,5,190,170,4,2,6.0,,6SM,15SM,///042 ///043 ///044 -60.4006°;02/17/2026 1455Z,CYYR -SHSN OVC042,M2,M01,M8,M06,A3006,A3010
17. 15:15Z,15,190,170,7,2,9.0,,6SM,15SM,///043 ///044 -60.4006°;02/17/2026 1515Z,CYYR -SHSN OVC042,M2,M01,M8,M06,A3005,A3010
17. 15:35Z,0,190,160,6,6,8.0,,6SM,15SM,///043 ///044 -60.4006°;02/17/2026 1535Z,CYYR OVC044,M1,M00,M8,M07,A3004,A3008
17. 15:55Z,5,190,180,6,6,9.0,,6SM,15SM,///042 ///044 -60.4006°;02/17/2026 1555Z,CYYR FEW025 OVC043 CF1SC8 DENSITY ALT -1752FT SLP186=,M1,00,M8,M07,A3003,A3007
17. 16:15Z,13,190,160,8,7,10.0,,6SM,15SM,///039 ///043 -60.4006°;02/17/2026 1615Z,CYYR -SHSN FEW025 OVC040 CF1SC8 DENSITY ALT -1752FT SLP182=,M1,00,M8,M07,A3002,A3006
17. 16:35Z,7,190,160,9,7,13.0,,6SM,15SM,///033 ///037 ///038 ///040 -60.4006°;02/17/2026 1635Z,CYYR -SHSN FEW025 OVC040 CF1SC8 DENSITY ALT -1752FT SLP182=,M1,00,M8,M07,A3002,A3006
17. 16:55Z,5,190,160,6,7,8.0,,6SM,15SM,///035 ///036 ///037 ///038 -60.4006°;02/17/2026 1655Z,CYYR -SHSN OVC036,M1,00,M8,M06,A3001,A3004
17. 17:15Z,15,190,160,5,7,7.0,,6SM,15SM,///033 ///037 ///040 -60.4006°;02/17/2026 1715Z,CYYR -SHSN OVC036,M1,00,M8,M06,A3000,A3004
17. 17:35Z,5,230,200,9,11,15.0,,6SM,15SM,///039 ///040 MAX WND 23015KT -60.4006°;02/17/2026 1735Z,CYYR OVC040,00,00,M8,M08,A2999,A3003
17. 17:55Z,5,230,200,11,10,16.0,,6SM,15SM,///036 ///037 ///038 ///039 -60.4006°;02/17/2026 1755Z,CYYR BKN038,00,00,M9,M08,A2998,A3002
17. 18:15Z,15,230,200,8,10,10.0,,6SM,15SM,///008 ///037 ///038 ///040 -60.4006°;02/17/2026 1815Z,CYYR BKN038,00,00,M8,M08,A2997,A3002
17. 18:55Z,5,260,190,3,7,5.0,,6SM,15SM,///040 ///041 -60.4006°;02/17/2026 1855Z,CYYR BKN040,00,01,M8,M07,A2996,A3000
17. 19:15Z,15,210,190,3,7,,,6SM,15SM,///036 ///040 ///042 -60.4006°;02/17/2026 1915Z,CYYR BKN040,01,01,M8,M07,A2996,A3000
17. 19:55Z,5,190,150,3,2,,,6SM,15SM,///041 ///042 ///044 -60.4006°;02/17/2026 1955Z,CYYR BKN041,00,01,M8,M07,A2996,A2999
17. 20:15Z,15,360,150,1,2,,,6SM,15SM,///042 ///044 -60.4006°;02/17/2026 2015Z,CYYR BKN041,00,01,M8,M07,A2995,A2999
17. 20:55Z,5,0,0,0,0,,,6SM,15SM,///042 ///044 -60.4006°;02/17/2026 2055Z,CYYR FEW020 BKN043,00,M01,M8,M06,A2995,A2999
17. 21:15Z,15,360,0,1,0,,,6SM,15SM,///043 ///044 -60.4006°;02/17/2026 2115Z,CYYR FEW020 BKN043,00,M01,M8,M06,A2995,A2999
17. 21:55Z,5,10,360,2,4,4.0,,6SM,15SM,///046 ///047 ///048 -60.4006°;02/17/2026 2155Z,CYYR BKN046,M1,M02,M8,M07,A2995,A2999
17. 22:15Z,15,40,360,2,4,4.0,,6SM,15SM,///046 ///048 ///050 -60.4006°;02/17/2026 2215Z,CYYR BKN046,M2,M02,M8,M07,A2995,A2999
17. 22:55Z,5,70,50,3,5,,,6SM,15SM,///045 ///047 ///048 -60.4006°;02/17/2026 2255Z,CYYR BKN048,M2,M03,M9,M06,A2993,A2998
17. 23:15Z,15,70,50,3,5,4.0,,6SM,15SM,///046 ///047 -60.4006°;02/17/2026 2315Z,CYYR BKN048,M2,M03,M9,M06,A2993,A2998
17. 23:55Z,5,40,20,3,4,4.0,,6SM,15SM,///042 ///043 -60.4006°;02/17/2026 2355Z,CYYR BKN042,M2,M03,M9,M07,A2992,A2997
18. 00:15Z,15,60,20,3,4,,,6SM,15SM,///041 ///042 ///043 ///044 -60.4006°;02/18/2026 0015Z,CYYR BKN042,M3,M03,M8,M07,A2992,A2997
18. 00:55Z,5,300,230,2,3,3.0,,6SM,15SM,///036 ///040 ///042 -60.4006°;02/18/2026 0055Z,CYYR OVC038,M3,M03,M8,M06,A2992,A2996
18. 01:15Z,15,360,230,1,3,2.0,,6SM,15SM,///035 ///040 ///041 -60.4006°;02/18/2026 0115Z,CYYR OVC038,M3,M03,M8,M06,A2992,A2996
18. 01:55Z,2,280,270,6,5,8.0,,6SM,12SM,///031 ///032 ///033 ///037 -60.4006°;02/18/2026 0155Z,CYYR CCA -SHSN OVC036,M2,M03,M7,M06,A2991,A2995
18. 02:15Z,15,280,290,3,5,,,6SM,12SM,///031 ///033 -60.4006°;02/18/2026 0215Z,CYYR -SHSN OVC035,M3,M03,M7,M06,A2991,A2995
18. 02:55Z,5,250,230,4,5,5.0,,6SM,15SM,///033 ///035 -60.4006°;02/18/2026 0255Z,CYYR -SHSN OVC034,M3,M04,M8,M06,A2991,A2995
18. 03:15Z,15,220,230,3,5,,,6SM,15SM,///033 ///034 ///035 -60.4006°;02/18/2026 0315Z,CYYR -SHSN OVC034,M3,M04,M8,M06,A2991,A2995
18. 03:35Z,2,260,230,2,3,3.0,,6SM,15SM,///032 ///033 -60.4006°;02/18/2026 0335Z,CYYR FEW018 OVC034,M3,M04,M7,M06,A2990,A2995
18. 03:55Z,5,260,220,3,5,,,6SM,15SM,///031 ///033 -60.4006°;02/18/2026 0355Z,CYYR FEW018 OVC034,M3,M04,M8,M06,A2990,A2994
18. 04:15Z,15,250,220,2,5,3.0,,6SM,15SM,///033 ///034 -60.4006°;02/18/2026 0415Z,CYYR FEW018 OVC034,M3,M04,M8,M06,A2989,A2994
18. 04:55Z,2,190,150,3,4,4.0,,6SM,15SM,///039 -60.4006°;02/18/2026 0455Z,CYYR -SHSN FEW018 OVC035,M3,M03,M7,M05,A2988,A2993
18. 05:15Z,15,190,170,3,4,5.0,,6SM,12SM,///033 -60.4006°;02/18/2026 0515Z,CYYR -SHSN FEW018 BKN035 OVC070,M3,M04,M8,M06,A2988,A2993
18. 05:35Z,1,200,270,3,2,4.0,,6SM,4SM,///002 -60.4006°;02/18/2026 0535Z,CYYR -SHSN FEW018 BKN036 OVC060,M3,M04,M8,M05,A2988,A2992
18. 05:55Z,4,360,260,1,2,2.0,,6SM,2 1/2SM,///002 -60.4006°;02/18/2026 0555Z,CYYR -SHSN FEW019 OVC035,M4,M04,M7,M05,A2987,A2992
18. 06:15Z,15,360,240,1,3,,,6SM,3SM,///002 -60.4006°;02/18/2026 0615Z,CYYR -SHSN FEW015 BKN034 OVC055,M4,M04,M7,M05,A2987,A2991
18. 06:35Z,3,360,180,1,2,2.0,,6SM,2SM,CLR -60.4006°;02/18/2026 0635Z,CYYR -SHSN FEW015 BKN027 OVC055,M4,M05,M7,M05,A2987,A2991
18. 06:55Z,5,170,130,3,3,4.0,,6SM,4SM,CLR -60.4006°;02/18/2026 0655Z,CYYR -SN FEW015 OVC025,M5,M05,M7,M05,A2986,A2991
18. 07:15Z,15,190,130,4,3,5.0,,6SM,4SM,CLR -60.4006°;02/18/2026 0715Z,CYYR -SN FEW015 OVC025,M5,M05,M7,M05,A2986,A2991
18. 07:35Z,1,190,150,5,5,6.0,,6SM,7SM,CLR -60.4006°;02/18/2026 0735Z,CYYR -SN FEW025 OVC033,M5,M05,M8,M06,A2986,A2991
18. 07:55Z,5,190,160,6,5,7.0,,6SM,10SM,CLR -60.4006°;02/18/2026 0755Z,CYYR -SN FEW015 OVC025,M5,M05,M8,M06,A2986,A2990
18. 08:15Z,15,200,160,4,5,6.0,,6SM,10SM,CLR -60.4006°;02/18/2026 0815Z,CYYR -SN FEW015 OVC025,M5,M05,M8,M06,A2986,A2990
18. 08:55Z,5,210,190,3,6,4.0,,6SM,12SM,CLR -60.4006°;02/18/2026 0855Z,CYYR -SN FEW021 OVC028,M5,M05,M8,M07,A2985,A2990
18. 09:15Z,15,210,190,3,6,4.0,,6SM,12SM,CLR -60.4006°;02/18/2026 0915Z,CYYR -SN FEW021 OVC028,M5,M05,M8,M07,A2985,A2990
18. 09:55Z,5,200,160,2,4,4.0,,6SM,15SM,CLR -60.4006°;02/18/2026 0955Z,CYYR -SN OVC026,M5,M05,M9,M07,A2984,A2989
18. 10:15Z,12,360,150,1,4,2.0,,6SM,15SM,CLR -60.4006°;02/18/2026 1015Z,CYYR -SN OVC023,M5,M05,M9,M07,A2984,A2989
18. 10:35Z,8,170,150,2,4,,,6SM,15SM,CLR -60.4006°;02/18/2026 1035Z,CYYR -SN OVC023,M5,M05,M9,M07,A2984,A2989
18. 10:55Z,5,180,150,3,3,,,6SM,15SM,CLR -60.4006°;02/18/2026 1055Z,CYYR -SN FEW010 BKN021 BKN100,M5,M06,M9,M08,A2984,A2988
18. 11:15Z,15,190,150,4,3,5.0,,6SM,15SM,CLR -60.4006°;02/18/2026 1115Z,CYYR -SN FEW010 BKN021 BKN100,M6,M06,M9,M08,A2984,A2988
18. 11:55Z,5,190,180,5,5,6.0,,6SM,15SM,///017 ///018 ///021 -60.4006°;02/18/2026 1155Z,CYYR -SN FEW010 BKN019 BKN100,M5,M05,M9,M08,A2984,A2988
18. 12:15Z,0,190,160,2,4,,,6SM,15SM,CLR -60.4006°;02/18/2026 1215Z,CYYR -SN SCT020 BKN050 BKN100,M5,M04,M9,M08,A2984,A2989
18. 12:55Z,5,190,180,2,2,,,6SM,15SM,///026 ///027 -60.4006°;02/18/2026 1255Z,CYYR -SN FEW010 SCT026 BKN055 BKN110,M5,M05,M9,M08,A2984,A2988
18. 13:15Z,15,0,180,0,2,,,6SM,15SM,///027 ///028 -60.4006°;02/18/2026 1315Z,CYYR -SN FEW010 SCT026 BKN055 BKN110,M4,M05,M9,M08,A2983,A2988
18. 13:55Z,5,10,0,2,0,4.0,,6SM,15SM,///029 ///055 -60.4006°;02/18/2026 1355Z,CYYR -SN FEW015 BKN030 BKN055,M2,M02,M8,M08,A2983,A2987
18. 14:15Z,15,360,0,1,0,2.0,,6SM,15SM,///055 -60.4006°;02/18/2026 1415Z,CYYR -SN FEW015 BKN030 BKN055,M3,M02,M8,M08,A2982,A2987
18. 14:55Z,5,340,0,2,0,3.0,,6SM,12SM,///019 ///055 -60.4006°;02/18/2026 1455Z,CYYR -SN SCT032 BKN055,M2,M01,M8,M08,A2981,A2986
18. 15:15Z,15,10,0,3,0,4.0,,6SM,12SM,///002 ///018 ///019 CLD LYR BLO -60.4006°;02/18/2026 1515Z,CYYR -SN SCT032 BKN055,M1,M01,M8,M08,A2981,A2986
18. 15:55Z,5,80,40,5,7,18.0,,6SM,15SM,///018 -60.4006°;02/18/2026 1555Z,CYYR -SN FEW018 BKN032 OVC050,M2,M02,M8,M07,A2980,A2984
18. 16:15Z,15,70,40,5,7,6.0,,6SM,15SM,///019 -60.4006°;02/18/2026 1615Z,CYYR -SN FEW018 BKN032 OVC050,M2,M02,M8,M07,A2979,A2984
18. 16:45Z,15,60,30,5,7,6.0,,6SM,15SM,///021 -60.4006°;02/18/2026 1645Z,CYYR -SN OVC025,M2,M02,M8,M07,A2978,A2983
18. 16:50Z,10,70,30,5,7,,,6SM,15SM,///021 -60.4006°;02/18/2026 1650Z,CYYR -SN OVC025,M2,M02,M8,M07,A2978,A2983
18. 16:55Z,5,80,30,7,7,8.0,,6SM,15SM,///020 ///021 -60.4006°;02/18/2026 1655Z,CYYR -SN OVC025,M2,M02,M8,M07,A2978,A2983
18. 17:05Z,5,50,30,7,7,8.0,,6SM,15SM,///022 ///023 -60.4006°;02/18/2026 1705Z,CYYR -SN OVC025,M2,M02,M8,M07,A2978,A2983
18. 17:15Z,15,60,30,6,7,7.0,,6SM,15SM,///023 ///027 -60.4006°;02/18/2026 1715Z,CYYR -SN OVC025,M2,M02,M8,M07,A2977,A2983
18. 17:55Z,5,60,40,8,7,11.0,,6SM,15SM,///031 ///032 ///033 -60.4006°;02/18/2026 1755Z,CYYR -SN BKN032 OVC050,M2,M02,M8,M07,A2977,A2981
18. 18:15Z,15,70,40,7,7,8.0,,6SM,15SM,///032 ///035 -60.4006°;02/18/2026 1815Z,CYYR -SN BKN032 OVC050,M2,M02,M8,M07,A2977,A2981
18. 18:55Z,5,70,50,7,8,14.0,,6SM,15SM,///030 ///031 -60.4006°;02/18/2026 1855Z,CYYR -SN OVC031,M2,M02,M8,M08,A2976,A2981
18. 19:15Z,15,80,50,7,8,9.0,,6SM,15SM,///031 -60.4006°;02/18/2026 1915Z,CYYR -SN OVC031,M2,M02,M8,M08,A2976,A2981
18. 19:35Z,5,70,50,7,7,9.0,,6SM,15SM,///030 ///031 -60.4006°;02/18/2026 1935Z,CYYR BKN031 OVC060,M3,M03,M8,M07,A2976,A2981
18. 19:55Z,5,60,40,7,7,9.0,,6SM,15SM,///031 ///032 ///033 -60.4006°;02/18/2026 1955Z,CYYR FEW020 BKN030 OVC055,M3,M03,M8,M08,A2976,A2981
18. 20:15Z,15,70,40,6,7,9.0,,6SM,15SM,///029 ///030 ///031 -60.4006°;02/18/2026 2015Z,CYYR FEW020 BKN030 OVC055,M3,M03,M8,M08,A2976,A2981
18. 20:55Z,5,50,40,5,5,8.0,,6SM,15SM,///030 ///031 ///033 -60.4006°;02/18/2026 2055Z,CYYR OVC032,M3,M03,M8,M08,A2976,A2981
18. 21:15Z,15,50,40,5,5,6.0,,6SM,15SM,///033 ///034 -60.4006°;02/18/2026 2115Z,CYYR OVC032,M3,M03,M8,M08,A2977,A2981
18. 21:55Z,5,50,40,5,5,6.0,,6SM,15SM,///033 ///034 -60.4006°;02/18/2026 2155Z,CYYR OVC035,M4,M04,M9,M08,A2977,A2982
18. 22:15Z,15,60,40,5,5,,,6SM,15SM,///033 -60.4006°;02/18/2026 2215Z,CYYR OVC035,M4,M04,M9,M08,A2977,A2982
18. 22:55Z,5,60,30,4,5,5.0,,6SM,15SM,///030 -60.4006°;02/18/2026 2255Z,CYYR OVC032,M4,M04,M9,M07,A2978,A2982
18. 23:15Z,15,60,30,5,5,7.0,,6SM,15SM,///030 -60.4006°;02/18/2026 2315Z,CYYR OVC032,M4,M04,M9,M07,A2978,A2982
18. 23:35Z,14,60,40,4,5,,,6SM,15SM,///031 ///032 -60.4006°;02/18/2026 2335Z,CYYR -SHSN OVC032,M4,M04,M9,M07,A2978,A2982
18. 23:55Z,5,40,40,3,5,,,6SM,15SM,///033 ///034 ///035 -60.4006°;02/18/2026 2355Z,CYYR -SHSN OVC032,M4,M04,M9,M07,A2978,A2982
19. 00:15Z,15,50,40,3,5,4.0,,6SM,15SM,///035 ///036 ///037 -60.4006°;02/19/2026 0015Z,CYYR -SHSN OVC032,M4,M04,M9,M07,A2977,A2982
19. 00:55Z,5,50,30,4,6,5.0,,6SM,15SM,///031 ///032 ///033 -60.4006°;02/19/2026 0055Z,CYYR -SHSN OVC034,M4,M04,M9,M08,A2978,A2982
19. 01:15Z,15,40,30,4,6,,,6SM,15SM,///031 ///032 -60.4006°;02/19/2026 0115Z,CYYR -SHSN OVC034,M4,M04,M9,M08,A2977,A2982
19. 01:55Z,5,40,20,3,4,4.0,,6SM,15SM,///032 ///034 ///036 -60.4006°;02/19/2026 0155Z,CYYR -SHSN OVC034,M5,M05,M10,M08,A2977,A2981
19. 02:15Z,15,30,20,5,4,7.0,,6SM,15SM,///030 ///031 ///033 -60.4006°;02/19/2026 0215Z,CYYR -SHSN OVC034,M5,M05,M9,M08,A2976,A2981
19. 02:55Z,5,30,10,3,4,,,6SM,15SM,///026 ///027 ///028 -60.4006°;02/19/2026 0255Z,CYYR -SHSN FEW025 OVC032,M5,M05,M9,M07,A2975,A2980
19. 03:15Z,15,10,10,3,4,5.0,,6SM,15SM,///025 ///027 ///028 -60.4006°;02/19/2026 0315Z,CYYR -SHSN FEW025 OVC032,M5,M05,M9,M07,A2975,A2980
19. 03:55Z,5,10,340,3,4,,,6SM,15SM,///031 ///032 ///035 -60.4006°;02/19/2026 0355Z,CYYR -SHSN BKN034,M5,M05,M9,M07,A2974,A2979
19. 04:15Z,15,360,340,3,4,4.0,,6SM,15SM,///033 ///034 ///035 -60.4006°;02/19/2026 0415Z,CYYR -SHSN BKN034,M5,M05,M9,M07,A2974,A2979
19. 04:55Z,5,360,350,5,5,7.0,,6SM,15SM,///033 ///034 -60.4006°;02/19/2026 0455Z,CYYR -SHSN OVC035,M5,M05,M10,M09,A2974,A2978
19. 05:15Z,15,10,350,5,5,6.0,,6SM,15SM,///032 ///033 -60.4006°;02/19/2026 0515Z,CYYR -SHSN OVC035,M5,M05,M10,M09,A2974,A2978
19. 05:35Z,4,10,350,3,5,4.0,,6SM,15SM,///031 ///032 ///033 -60.4006°;02/19/2026 0535Z,CYYR OVC034,M5,M06,M10,M09,A2974,A2979
19. 05:55Z,5,360,320,3,4,4.0,,6SM,15SM,///030 ///032 ///033 -60.4006°;02/19/2026 0555Z,CYYR OVC033,M5,M06,M11,M10,A2974,A2979
19. 06:15Z,15,350,320,3,4,4.0,,6SM,15SM,///030 ///031 -60.4006°;02/19/2026 0615Z,CYYR OVC033,M5,M06,M11,M10,A2974,A2979
19. 06:35Z,9,340,310,4,4,5.0,,6SM,15SM,///031 -60.4006°;02/19/2026 0635Z,CYYR -SHSN OVC032,M5,M06,M11,M09,A2974,A2979
19. 06:55Z,5,340,310,4,6,5.0,,6SM,15SM,///031 ///032 -60.4006°;02/19/2026 0655Z,CYYR -SHSN OVC032,M5,M06,M10,M09,A2974,A2979
19. 07:15Z,15,340,310,5,6,8.0,,6SM,15SM,///031 -60.4006°;02/19/2026 0715Z,CYYR -SHSN OVC032,M5,M06,M10,M09,A2974,A2979
19. 07:55Z,5,330,310,6,6,7.0,,6SM,15SM,///033 ///034 ///035 -60.4006°;02/19/2026 0755Z,CYYR -SHSN OVC033,M5,M06,M10,M09,A2974,A2979
19. 08:15Z,15,340,310,7,6,9.0,,6SM,15SM,///035 ///036 -60.4006°;02/19/2026 0815Z,CYYR -SHSN OVC033,M5,M06,M10,M09,A2974,A2979
19. 08:55Z,5,330,300,7,6,8.0,,6SM,15SM,///036 ///037 -60.4006°;02/19/2026 0855Z,CYYR -SHSN OVC036,M5,M06,M10,M09,A2974,A2978
19. 09:15Z,15,320,300,7,6,8.0,,6SM,15SM,///035 ///036 ///037 -60.4006°;02/19/2026 0915Z,CYYR -SHSN OVC036,M5,M06,M10,M09,A2974,A2978
19. 09:55Z,5,320,280,6,5,9.0,,6SM,15SM,///035 ///036 ///037 -60.4006°;02/19/2026 0955Z,CYYR -SHSN OVC036,M5,M06,M10,M08,A2974,A2978
19. 10:15Z,15,320,280,6,5,8.0,,6SM,15SM,///036 ///037 -60.4006°;02/19/2026 1015Z,CYYR -SHSN OVC036,M5,M06,M10,M08,A2974,A2978
19. 10:55Z,5,320,290,7,6,9.0,,6SM,15SM,///036 ///037 ///038 -60.4006°;02/19/2026 1055Z,CYYR -SHSN OVC037,M5,M06,M10,M09,A2973,A2978
19. 11:15Z,15,320,290,6,6,7.0,,6SM,15SM,///036 ///037 ///038 -60.4006°;02/19/2026 1115Z,CYYR -SHSN OVC037,M5,M06,M10,M09,A2973,A2978
19. 11:35Z,4,300,280,5,5,7.0,,6SM,15SM,///035 ///036 ///037 -60.4006°;02/19/2026 1135Z,CYYR OVC037,M5,M05,M10,M09,A2974,A2978
19. 11:55Z,5,330,30,4,3,,,6SM,15SM,///035 -60.4006°;02/19/2026 1155Z,CYYR OVC036,M5,M05,M10,M09,A2974,A2979
19. 12:15Z,15,310,30,2,3,4.0,,6SM,15SM,///035 -60.4006°;02/19/2026 1215Z,CYYR OVC036,M5,M05,M10,M09,A2975,A2979
19. 12:55Z,1,270,220,3,4,4.0,,6SM,15SM,///030 ///032 ///033 -60.4006°;02/19/2026 1255Z,CYYR -SHSN OVC036,M4,M05,M8,M08,A2975,A2979
19. 13:15Z,15,280,220,4,4,5.0,,6SM,15SM,///033 ///034 ///035 -60.4006°;02/19/2026 1315Z,CYYR -SHSN OVC036,M5,M05,M9,M08,A2974,A2979
19. 13:55Z,5,290,290,3,5,4.0,,6SM,12SM,///006 ///040 -60.4006°;02/19/2026 1355Z,CYYR -SHSN FEW020 OVC036,M4,M03,M9,M09,A2974,A2978
19. 14:15Z,2,320,300,4,5,6.0,,6SM,4SM,///001 ///002 ///006 CLD LYR BLO -60.4006°;02/19/2026 1415Z,CYYR -SHSN FEW020 OVC038,M3,M03,M9,M08,A2974,A2978
19. 14:35Z,1,320,270,5,5,6.0,,6SM,8SM,///004 ///036 ///037 -60.4006°;02/19/2026 1435Z,CYYR -SHSN FEW020 OVC035,M3,M02,M9,M08,A2974,A2978
19. 14:55Z,5,320,290,7,3,9.0,,6SM,3SM,///001 ///002 ///006 ///034 CLD LYR BLO -60.4006°;02/19/2026 1455Z,CYYR -SHSN OVC035,M3,M02,M9,M07,A2973,A2978
19. 15:15Z,10,280,310,15,6,27.0,,4SM,6SM,///003 ///026 ///027 CLD LYR BLO MAX WND 28027KT -60.4006°;02/19/2026 1515Z,CYYR -SHSN OVC030,M1,M02,M6,M07,A2973,A2977
