Time (Z),Diff_Min,MWS_Wind_Dir,CYYR_Wind_Dir,MWS_Wind_Spd,CYYR_Wind_Spd,MWS_Wind_Gust,CYYR_Wind_Gust,MWS_Vis,CYYR_Vis,MWS_Wx,CYYR_Wx,MWS_Temp,CYYR_Temp,MWS_Dew,CYYR_Dew,MWS_QNH,CYYR_QNH
24. 05:15Z,15,50,320,2,2,4.0,,6SM,15SM,CLR -60.4006°;,CYYR BKN220 CI6 DENSITY ALT -4600FT FROIN SLP180=,M19,M21,M23,M23,A3000,A3005
24. 05:55Z,5,250,290,13,3,23.0,,6SM,15SM,CLR MAX WND 24023KT -60.4006°;,CYYR BKN220 CI7 DENSITY ALT -4735FT SLP172=,M14,M22,M20,M24,A2998,A3002
24. 06:15Z,15,360,290,1,3,2.0,,6SM,15SM,CLR -60.4006°;,CYYR BKN220 CI7 DENSITY ALT -4735FT SLP172=,M18,M22,M23,M24,A2998,A3002
24. 06:55Z,5,360,290,1,4,2.0,,6SM,15SM,CLR -60.4006°;,CYYR FEW025 BKN210,M19,M22,M23,M24,A2996,A2999
24. 07:15Z,11,340,300,3,5,5.0,,6SM,15SM,///020 ///021 -60.4006°;,CYYR BKN020 BKN210,M19,M20,M23,M22,A2994,A2997
24. 07:35Z,9,270,300,2,5,4.0,,6SM,15SM,///020 -60.4006°;,CYYR BKN020 BKN210,M19,M20,M22,M22,A2993,A2997
24. 07:55Z,5,280,270,3,6,5.0,,6SM,15SM,///021 -60.4006°;,CYYR OVC021,M18,M19,M22,M22,A2992,A2995
24. 08:15Z,13,360,170,1,3,4.0,,6SM,15SM,///021 ///022 ///023 -60.4006°;,CYYR -SN OVC023,M18,M19,M22,M21,A2990,A2993
24. 08:35Z,7,170,170,4,3,5.0,,6SM,15SM,///022 -60.4006°;,CYYR -SN OVC023,M18,M19,M22,M21,A2989,A2993
24. 08:55Z,5,160,180,3,2,4.0,,6SM,15SM,///029 ///031 ///033 ///034 -60.4006°;,CYYR -SN BKN023 OVC032,M18,M18,M21,M20,A2988,A2992
24. 09:15Z,15,160,180,3,2,4.0,,6SM,15SM,///003 ///026 ///036 ///037 CLD LYR BLO -60.4006°;,CYYR -SN BKN023 OVC032,M18,M18,M22,M20,A2987,A2992
24. 09:55Z,5,360,190,1,2,2.0,,6SM,10SM,///005 ///014 -60.4006°;,CYYR -SN BKN015 OVC030,M18,M17,M21,M20,A2985,A2988
24. 10:15Z,10,250,240,2,3,3.0,,6SM,5SM,///004 ///005 ///006 ///015 -60.4006°;,CYYR -SN BKN016 OVC030,M17,M17,M21,M20,A2983,A2986
24. 10:35Z,10,230,240,2,3,4.0,,6SM,5SM,///015 -60.4006°;,CYYR -SN BKN016 OVC030,M17,M17,M21,M20,A2982,A2986
24. 10:55Z,5,230,220,3,4,,,4SM,3SM,///015 -60.4006°;,CYYR -SN OVC016,M17,M17,M21,M19,A2981,A2985
24. 11:15Z,15,230,220,2,4,3.0,,M1/4SM,3SM,FG ///015 ///016 -60.4006°;,CYYR -SN OVC016,M17,M17,M20,M19,A2980,A2985
24. 11:55Z,1,270,220,3,5,4.0,,M1/4SM,2SM,FG ///002 ///018 CLD LYR BLO -60.4006°;,CYYR -SN OVC018,M16,M16,M20,M18,A2978,A2982
24. 12:15Z,5,280,0,3,0,5.0,,M1/4SM,3/4SM,FG ///002 -60.4006°;,CYYR -SN OVC019,M16,M16,M19,M18,A2977,A2981
24. 12:35Z,5,320,320,3,4,,,M1/4SM,5/8SM,FG CLR -60.4006°;,CYYR -SN OVC017,M15,M14,M18,M16,A2975,A2980
24. 12:55Z,5,360,340,4,5,7.0,,M1/4SM,1/2SM,FG CLR -60.4006°;,CYYR SN VV005,M14,M14,M17,M16,A2974,A2978
24. 13:15Z,7,10,360,5,6,7.0,,M1/4SM,3/4SM,FG CLR -60.4006°;,CYYR -SN VV005,M13,M13,M17,M15,A2973,A2978
24. 13:35Z,6,30,10,6,7,8.0,,M1/4SM,3/4SM,FG CLR -60.4006°;,CYYR -SN OVC019,M13,M13,M16,M15,A2972,A2977
24. 13:55Z,5,30,10,8,10,13.0,,M1/4SM,2SM,FG CLR -60.4006°;,CYYR -SN BKN018 OVC027,M12,M11,M15,M13,A2971,A2975
24. 14:15Z,15,30,10,11,10,15.0,,6SM,2SM,CLR -60.4006°;,CYYR -SN BKN018 OVC027,M11,M11,M15,M13,A2969,A2975
24. 14:35Z,0,40,360,10,9,15.0,15.0,1 3/4SM,1SM,BR ///002 ///003 CLD LYR BLO -60.4006°;,CYYR -SN OVC018,M10,M10,M14,M13,A2968,A2973
24. 14:55Z,5,40,360,12,12,16.0,,2SM,1SM,BR ///001 ///002 ///005 CLD LYR BLO -60.4006°;,CYYR -SN OVC016,M10,M09,M14,M12,A2967,A2972
24. 15:15Z,3,40,360,12,13,17.0,,1 3/4SM,3/4SM,BR ///002 ///006 CLD LYR BLO -60.4006°;,CYYR -SN VV008,M9,M09,M13,M12,A2966,A2971
24. 15:55Z,5,10,360,11,15,17.0,,2SM,3/4SM,BR ///001 ///002 ///004 ///015 CLD LYR BLO MAX WND 01017KT -60.4006°;,CYYR -SN VV005,M9,M09,M13,M12,A2964,A2969
24. 16:15Z,14,20,360,14,13,20.0,22.0,1 1/2SM,1SM,BR ///002 MAX WND 02020KT -60.4006°;,CYYR -SN OVC010,M10,M10,M13,M12,A2963,A2967
24. 16:35Z,6,10,360,15,13,20.0,22.0,2SM,1SM,BR ///001 ///002 CLD LYR BLO -60.4006°;,CYYR -SN OVC010,M10,M10,M14,M12,A2962,A2967
24. 16:55Z,5,10,360,14,15,18.0,21.0,2SM,1SM,BR ///002 ///003 CLD LYR BLO -60.4006°;,CYYR -SN OVC010,M10,M09,M13,M12,A2961,A2965
24. 17:15Z,14,20,360,14,14,17.0,19.0,2SM,1 1/2SM,BR ///002 -60.4006°;,CYYR -SN OVC010,M10,M09,M13,M12,A2960,A2964
24. 17:35Z,6,10,360,14,14,17.0,19.0,3SM,1 1/2SM,///002 -60.4006°;,CYYR -SN OVC010,M10,M09,M13,M12,A2959,A2964
24. 17:55Z,5,10,360,12,13,15.0,19.0,4SM,1 3/4SM,CLR -60.4006°;,CYYR -SN BKN010 OVC020,M10,M09,M13,M13,A2959,A2964
24. 18:15Z,15,10,360,12,13,16.0,19.0,6SM,1 3/4SM,CLR -60.4006°;,CYYR -SN BKN010 OVC020,M10,M09,M14,M13,A2958,A2964
24. 18:35Z,3,10,360,15,14,19.0,21.0,5SM,1SM,///002 -60.4006°;,CYYR -SN DRSN OVC010,M10,M09,M14,M13,A2958,A2963
24. 18:55Z,5,20,10,16,16,20.0,23.0,3SM,1SM,CLR -60.4006°;,CYYR -SN DRSN OVC010,M10,M10,M14,M12,A2958,A2963
24. 19:15Z,3,20,360,13,14,16.0,,6SM,1 1/2SM,CLR -60.4006°;,CYYR -SN DRSN BKN010 OVC022,M10,M10,M14,M12,A2958,A2963
24. 19:35Z,8,10,360,14,11,18.0,16.0,6SM,1SM,///002 -60.4006°;,CYYR -SN DRSN OVC010,M10,M10,M14,M12,A2958,A2963
24. 19:55Z,5,10,360,13,12,18.0,20.0,1 1/2SM,1SM,BR CLR -60.4006°;,CYYR -SN DRSN OVC010,M10,M10,M14,M12,A2958,A2962
24. 20:15Z,1,20,360,14,12,19.0,19.0,1 1/2SM,1 3/4SM,BR CLR -60.4006°;,CYYR -SN DRSN BKN010 OVC020,M10,M10,M14,M12,A2957,A2962
24. 20:35Z,7,10,360,13,12,16.0,17.0,2SM,1 1/4SM,CLR -60.4006°;,CYYR -SN DRSN OVC010,M11,M11,M14,M13,A2957,A2963
24. 20:55Z,5,10,360,13,13,18.0,19.0,3SM,1SM,CLR -60.4006°;,CYYR -SN DRSN BKN010 OVC022,M11,M11,M14,M13,A2957,A2963
24. 21:15Z,15,10,360,13,13,17.0,19.0,3SM,1SM,CLR -60.4006°;,CYYR -SN DRSN BKN010 OVC022,M11,M11,M14,M13,A2958,A2963
24. 21:35Z,15,10,350,13,11,16.0,17.0,4SM,1SM,CLR -60.4006°;,CYYR -SN DRSN OVC017,M11,M12,M15,M14,A2958,A2964
24. 21:55Z,5,10,350,13,11,16.0,17.0,5SM,1SM,CLR -60.4006°;,CYYR -SN DRSN OVC017,M12,M12,M15,M14,A2959,A2964
24. 22:15Z,13,10,350,11,11,13.0,,5SM,1 1/2SM,CLR -60.4006°;,CYYR -SN DRSN OVC017,M12,M12,M15,M14,A2960,A2965
24. 22:35Z,7,10,350,13,11,19.0,,6SM,1 1/2SM,CLR MAX WND 01019KT -60.4006°;,CYYR -SN DRSN OVC017,M12,M12,M15,M14,A2960,A2965
24. 22:55Z,5,10,350,12,11,16.0,16.0,6SM,1 1/2SM,CLR -60.4006°;,CYYR -SN DRSN OVC020,M12,M12,M16,M14,A2960,A2965
24. 23:15Z,15,10,350,13,11,18.0,16.0,6SM,1 1/2SM,CLR -60.4006°;,CYYR -SN DRSN OVC020,M12,M12,M16,M14,A2961,A2965
24. 23:55Z,5,340,320,8,10,10.0,,6SM,2SM,CLR -60.4006°;,﻿METAR CYYR -SN OVC021,M12,M13,M16,M15,A2961,A2967
