Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
22. 12:02Z;2;10;330;11;9;;;6SM;15SM;CLR;CYYR -SN BKN023;M11;M11;M16;M14;3022;3026;1,35
22. 13:00Z;0;360;330;9;10;10.0;;6SM;15SM;010V360 CLR;CYYR -SN BKN022;M11;M11;M16;M14;3023;3027;1,35
22. 13:01Z;1;350;330;10;10;11.0;;6SM;15SM;CLR;CYYR -SN BKN022;M11;M11;M16;M14;3022;3027;1,69
22. 13:15Z;15;350;330;11;10;14.0;;6SM;15SM;///021 ///022;CYYR -SN BKN022;M11;M11;M16;M14;3023;3027;1,35
22. 13:55Z;5;350;320;9;10;11.0;;6SM;15SM;///020 ///021 ///022;CYYR -SN BKN021;M10;M10;M16;M15;3024;3029;1,69
22. 14:15Z;15;350;320;9;10;12.0;;6SM;15SM;///021 ///022 ///023;CYYR -SN BKN021;M10;M10;M16;M15;3024;3029;1,69
22. 14:55Z;5;340;290;8;3;9.0;;6SM;15SM;///021;CYYR -SN BKN021;M10;M09;M16;M15;3024;3028;1,35
22. 15:15Z;15;310;290;6;3;;;6SM;15SM;///021;CYYR -SN BKN021;M10;M09;M16;M15;3023;3028;1,69
22. 15:35Z;8;350;300;4;4;5.0;;6SM;15SM;///023 ///024;CYYR BKN023;M9;M07;M16;M15;3023;3027;1,35
22. 15:55Z;5;340;320;4;4;8.0;;6SM;15SM;///024 ///026;CYYR BKN025;M6;M05;M15;M15;3022;3026;1,35
22. 16:15Z;15;350;320;3;4;6.0;;6SM;15SM;///025 ///026;CYYR BKN025;M7;M05;M16;M15;3021;3026;1,69
22. 16:55Z;5;340;330;2;3;4.0;;6SM;15SM;CLR;CYYR FEW027;M5;M03;M15;M15;3021;3025;1,35
22. 17:15Z;15;270;330;2;3;4.0;;6SM;15SM;CLR;CYYR FEW027;M4;M03;M15;M15;3020;3025;1,69
22. 17:55Z;5;360;0;1;0;3.0;;6SM;15SM;CLR;CYYR FEW027;M3;M03;M15;M15;3020;3024;1,35
22. 18:15Z;15;0;0;0;0;;;6SM;15SM;CLR;CYYR FEW027;M2;M03;M15;M15;3020;3024;1,35
22. 18:55Z;5;40;350;2;2;4.0;;6SM;15SM;CLR;CYYR FEW030;M2;M03;M15;M14;3019;3023;1,35
22. 19:15Z;15;120;350;2;2;6.0;;6SM;15SM;CLR;CYYR FEW030;M3;M03;M15;M14;3019;3023;1,35
22. 19:55Z;5;140;120;5;6;;;6SM;15SM;CLR;CYYR FEW030;M8;M07;M17;M14;3019;3023;1,35
22. 20:15Z;15;120;120;4;6;5.0;;6SM;15SM;CLR;CYYR FEW030;M9;M07;M17;M14;3019;3023;1,35
22. 20:55Z;5;130;120;3;5;4.0;;6SM;15SM;CLR;CYYR FEW030;M9;M08;M17;M15;3019;3024;1,69
22. 21:15Z;15;140;120;3;5;;;6SM;15SM;CLR;CYYR FEW030;M10;M08;M17;M15;3019;3024;1,69
22. 21:55Z;5;360;150;1;2;;;6SM;15SM;CLR;CYYR SKC DENSITY ALT -3638FT SLP250=;M10;M12;M17;M16;3020;3025;1,69
22. 22:15Z;15;360;150;1;2;;;6SM;15SM;CLR;CYYR SKC DENSITY ALT -3638FT SLP250=;M12;M12;M18;M16;3021;3025;1,35
22. 22:55Z;5;360;350;1;3;2.0;;6SM;15SM;CLR;CYYR SKC DENSITY ALT -4074FT SLP251=;M15;M15;M19;M18;3021;3026;1,69
22. 23:15Z;15;10;350;2;3;3.0;;6SM;15SM;CLR;CYYR SKC DENSITY ALT -4074FT SLP251=;M14;M15;M18;M18;3021;3026;1,69
22. 23:55Z;5;320;340;2;3;;;6SM;15SM;CLR;﻿METAR CYYR SKC DENSITY ALT -3994FT SLP249=;M13;M15;M18;M17;3020;3025;1,69
;;;;;;;;;;;;;;;;;;1,62
